,cell type 1,cell type 2,cell type 3,cell type 4
1,1,0,0,0
2,0,1,0,0
3,0,0,1,0
4,1,0,0,0
5,0,0,1,0
6,0,1,0,0
7,1,0,0,0
8,1,0,0,0
9,0,0,0,1
10,0,1,0,0
11,0,0,0,1
12,0,0,0,1
13,0,0,0,1
14,0,0,0,1
15,0,0,0,1
16,0,1,0,0
17,1,0,0,0
18,0,0,1,0
19,0,0,0,1
20,1,0,0,0
21,1,0,0,0
22,0,0,0,1
23,0,0,0,1
24,0,0,0,1
25,0,0,0,1
26,0,0,0,1
27,0,0,1,0
28,0,0,0,1
29,0,0,1,0
30,0,0,0,1
31,0,1,0,0
32,0,0,1,0
33,1,0,0,0
34,0,0,0,1
35,0,0,0,1
36,0,1,0,0
37,1,0,0,0
38,1,0,0,0
39,0,0,1,0
40,0,0,0,1
41,1,0,0,0
42,0,0,1,0
43,1,0,0,0
44,0,0,0,1
45,1,0,0,0
46,0,0,0,1
47,0,0,0,1
48,0,0,0,1
49,0,0,0,1
50,0,1,0,0
51,1,0,0,0
52,0,1,0,0
53,0,0,1,0
54,0,0,0,1
55,0,0,0,1
56,0,1,0,0
57,0,0,0,1
58,0,0,0,1
59,1,0,0,0
60,0,1,0,0
61,0,0,1,0
62,0,1,0,0
63,0,0,1,0
64,1,0,0,0
65,0,0,0,1
66,0,1,0,0
67,1,0,0,0
68,0,1,0,0
69,0,0,0,1
70,0,1,0,0
71,1,0,0,0
72,1,0,0,0
73,0,0,0,1
74,0,0,1,0
75,0,1,0,0
76,0,1,0,0
77,0,0,0,1
78,0,0,1,0
79,0,0,0,1
80,0,1,0,0
81,0,1,0,0
82,0,1,0,0
83,0,0,0,1
84,1,0,0,0
85,1,0,0,0
86,0,0,0,1
87,0,0,1,0
88,0,1,0,0
89,1,0,0,0
90,1,0,0,0
91,0,0,1,0
92,0,0,0,1
93,0,0,0,1
94,0,0,0,1
95,0,0,0,1
96,0,0,0,1
97,0,0,1,0
98,1,0,0,0
99,0,0,1,0
100,0,0,0,1
101,1,0,0,0
102,1,0,0,0
103,0,1,0,0
104,1,0,0,0
105,0,0,0,1
106,0,1,0,0
107,0,0,0,1
108,0,0,1,0
109,0,0,1,0
110,0,1,0,0
111,0,0,0,1
112,0,0,1,0
113,0,0,0,1
114,1,0,0,0
115,0,1,0,0
116,0,1,0,0
117,0,0,1,0
118,1,0,0,0
119,1,0,0,0
120,1,0,0,0
121,0,0,0,1
122,0,0,0,1
123,0,1,0,0
124,0,0,0,1
125,0,0,0,1
126,1,0,0,0
127,0,1,0,0
128,0,0,1,0
129,0,0,1,0
130,1,0,0,0
131,0,0,0,1
132,0,0,0,1
133,0,1,0,0
134,0,0,0,1
135,0,0,0,1
136,0,1,0,0
137,0,0,0,1
138,1,0,0,0
139,0,1,0,0
140,1,0,0,0
141,0,0,1,0
142,0,0,0,1
143,1,0,0,0
144,0,0,0,1
145,0,1,0,0
146,0,0,0,1
147,0,1,0,0
148,0,0,1,0
149,1,0,0,0
150,0,1,0,0
151,0,0,1,0
152,1,0,0,0
153,1,0,0,0
154,1,0,0,0
155,0,0,1,0
156,1,0,0,0
157,0,1,0,0
158,0,0,1,0
159,0,0,0,1
160,0,0,1,0
161,0,0,0,1
162,0,0,1,0
163,0,0,0,1
164,0,0,0,1
165,0,1,0,0
166,0,0,0,1
167,1,0,0,0
168,0,0,0,1
169,0,0,0,1
170,0,0,0,1
171,0,1,0,0
172,0,1,0,0
173,0,1,0,0
174,1,0,0,0
175,0,0,0,1
176,0,1,0,0
177,0,1,0,0
178,1,0,0,0
179,0,0,1,0
180,0,0,0,1
181,0,0,0,1
182,0,0,0,1
183,0,0,1,0
184,0,0,0,1
185,0,0,0,1
186,0,0,0,1
187,0,1,0,0
188,0,0,0,1
189,0,1,0,0
190,0,1,0,0
191,0,0,0,1
192,0,0,0,1
193,0,1,0,0
194,0,0,0,1
195,0,0,0,1
196,0,1,0,0
197,0,0,1,0
198,0,1,0,0
199,0,0,0,1
200,1,0,0,0
201,1,0,0,0
202,0,0,1,0
203,0,0,1,0
204,0,1,0,0
205,1,0,0,0
206,0,0,0,1
207,1,0,0,0
208,1,0,0,0
209,1,0,0,0
210,0,0,1,0
211,0,0,0,1
212,0,0,0,1
213,0,0,0,1
214,0,0,1,0
215,0,0,1,0
216,0,1,0,0
217,1,0,0,0
218,1,0,0,0
219,0,1,0,0
220,0,0,0,1
221,0,1,0,0
222,0,1,0,0
223,0,1,0,0
224,0,0,0,1
225,0,0,0,1
226,0,0,1,0
227,0,0,0,1
228,0,0,0,1
229,0,0,0,1
230,0,1,0,0
231,0,0,0,1
232,0,1,0,0
233,0,1,0,0
234,0,1,0,0
235,0,0,0,1
236,0,0,0,1
237,0,0,1,0
238,0,1,0,0
239,1,0,0,0
240,0,0,0,1
241,0,0,0,1
242,0,0,0,1
243,0,0,0,1
244,0,0,1,0
245,1,0,0,0
246,0,0,0,1
247,0,0,0,1
248,1,0,0,0
249,1,0,0,0
250,0,0,0,1
251,0,1,0,0
252,0,1,0,0
253,0,0,1,0
254,0,0,0,1
255,0,0,0,1
256,0,1,0,0
257,0,1,0,0
258,0,0,0,1
259,0,0,0,1
260,0,1,0,0
261,1,0,0,0
262,0,1,0,0
263,1,0,0,0
264,0,0,0,1
265,0,1,0,0
266,0,1,0,0
267,0,0,0,1
268,0,0,0,1
269,1,0,0,0
270,0,0,0,1
271,0,0,0,1
272,0,0,0,1
273,0,1,0,0
274,0,0,0,1
275,0,1,0,0
276,1,0,0,0
277,0,0,0,1
278,1,0,0,0
279,0,0,0,1
280,0,0,0,1
281,0,0,1,0
282,0,0,1,0
283,0,0,1,0
284,0,0,1,0
285,0,1,0,0
286,0,0,1,0
287,0,0,0,1
288,0,0,0,1
289,1,0,0,0
290,0,0,0,1
291,0,1,0,0
292,0,0,0,1
293,0,0,1,0
294,0,0,1,0
295,0,0,0,1
296,0,0,0,1
297,0,1,0,0
298,1,0,0,0
299,0,0,1,0
300,0,0,0,1
301,0,0,1,0
302,0,0,0,1
303,0,0,0,1
304,0,0,0,1
305,0,0,0,1
306,0,0,0,1
307,1,0,0,0
308,0,0,1,0
309,0,0,0,1
310,0,0,0,1
311,1,0,0,0
