"","ADAM22","ALDOA","AP2M1","ARL6IP1","ARPP21","ATL1","ATP1A1","ATP1B1","ATP6V0B","ATP6V1A","ATP8A1","BEX2","BEX4","CACNB4","CADPS","CAP2","CHL1","CHN1","CLK1","CLTC","CLU","DCLK1","DYNLL1","ELMOD1","FBXW7","FXYD6","FZD3","GABRA1","GABRA4","GABRB2","GABRB3","GABRG2","GAP43","GDAP1","GLS","GPRASP1","GRIA3","GRIK2","GRIN2A","HINT1","HSPH1","INPP5F","ISCU","KCNB1","KCNC2","KCNQ1OT1","KIAA1549L","LINC00632","LMO4","LONRF2","MDH1","MEG3","MORF4L2","NCKAP1","NDUFA4","NRXN3","NSF","OLFM1","OXR1","PAICSP4","PGM2L1","PJA2","PLCB1","PNMA2","PNN","PPP3CA","PRKCB","PRNP","REEP5","RHBDD2","RTN1","RYR2","SCG3","SCG5","SERPINI1","SKP1","SLC24A2","SLC39A10","SLC8A1","SNAP25","SNAP91","ST8SIA3","STMN1","STMN2","STXBP5L","TAGLN3","TIA1","TMSB10","TOMM20","TPPP","TSPAN7","TUBA1A","UQCRH","VDAC3","VSNL1","YWHAH","YWHAZ"
"AD_16955",0.664806680897457,0.822456485454519,0.688016746459034,0.747752927730495,0.539997796468381,0.583344559306805,0.816020775545375,0.833341222484143,0.523339019927025,0.761115848170724,0.807196764074075,0.491114811080617,0.563953148068535,0.618273358176041,0.674593302180981,0.566923650091295,0.776019609549991,0.827922417556077,0.545161916919518,0.8659233950391,0.999865648696098,0.745640495887677,0.555452821294624,0.50719799207941,0.665730137657376,0.657967965871436,0.607537702843949,0.694865609766906,0.584205980446838,0.727422538729885,0.639405873723795,0.625611405884729,0.627936710251926,0.580069243223442,0.723519905726275,0.672301380248998,0.611274344056361,0.460163479772441,0.683114936412491,0.563608460856249,0.659012648581251,0.656836721677514,0.552614524929872,0.601349880195419,0.590512979164047,0.566875426629227,0.705549325692844,0.196057503996578,0.660308309170055,0.745377977983139,0.718064906755884,0.704574175543362,0.660411478067447,0.731081283857354,0.666177330708881,0.631295510080122,0.74591709843504,0.704631713903753,0.698305847760175,0,0.694599242038703,0.837139985273434,0.647520617042747,0.80072858559721,0.445687885380609,0.757969406633521,0.78664246243396,0.820976794607475,0.700293108087608,0.5805541410346,0.78560907925451,0.74286077072695,0.602759920885258,0.589355712751218,0.664681450360772,0.680207676997531,0.629625552040288,0.628224844169219,0.731225785684041,0.921470522338006,0.685335225728085,0.677518869437275,0.753156498173405,0.721238270158324,0.646788025893659,0.619905420393418,0.480493178250088,0.630036895980004,0.720619306485778,0.782385590928864,0.721888849692722,0.857394175323504,0.500580546436798,0.532113754386289,0.810753366644201,0.799362004090428,0.810111258948014
"AD_17155",0.542922311230665,0.767680875541054,0.574651610914676,0.628788384603863,0.487550994950957,0.433986737932092,0.700902423941294,0.673118227385332,0.403091048537828,0.588787572999298,0.717444384323557,0.321250418640515,0.43982066915027,0.477221304951046,0.558200902940388,0.413272551015357,0.632791673650233,0.684918059211587,0.54533613197166,0.744136954593403,0.99986848396237,0.615668847242279,0.447207002759229,0.346618362026625,0.534596332027084,0.562971229804241,0.517770858239154,0.494598387228876,0.446172912544804,0.578106212197488,0.526051829972934,0.469280540676206,0.443978829098106,0.430757347623043,0.620290445149933,0.526487210086412,0.500720948043822,0.397386852182084,0.566546121009976,0.390359340579907,0.587531018132301,0.483802688256941,0.4127596364295,0.535302437897944,0.45699517701413,0.592232790861856,0.618696115000245,0.24384031946279,0.500097303140697,0.652753171420813,0.523540441861666,0.75781745390877,0.526362939285946,0.616352481392885,0.479376068022567,0.533620206189308,0.563976545830799,0.579860553901032,0.547033890675136,0,0.544839765475678,0.689905633006692,0.506366011037411,0.641921230774869,0.396177806627475,0.642425487214549,0.656749370813111,0.722860371305948,0.575130310074796,0.489529718011958,0.670726751502256,0.689006543357916,0.47106062813302,0.43476983350864,0.478618945745205,0.551702505063822,0.5263940162364,0.514284789359346,0.614893966263385,0.788194737211892,0.575425915702347,0.55738727241061,0.638967097747712,0.531769647072696,0.528890977861596,0.427576809718743,0.414484029382134,0.569050535870745,0.566570162557826,0.810755892971931,0.615774216254826,0.718194469987503,0.341336909007046,0.364734054016126,0.649503738651223,0.635430570766755,0.646762585493339
"AD_17135",0.673608416575686,0.827847643469525,0.674528760035814,0.729582616121949,0.5581522446943,0.56600171535903,0.827996210712607,0.815269545503964,0.465159214564696,0.748654818900566,0.787954611180934,0.450468804195779,0.538190782488345,0.641115780238829,0.68336548736257,0.559518171654446,0.766472406411757,0.826070527244389,0.543799304344961,0.865183622831944,0.999863558878722,0.745817566267653,0.538708977755569,0.487148336675213,0.671751444169547,0.638994783105478,0.609848328612687,0.696821320962735,0.60387339302818,0.750446370370866,0.624915009398254,0.63353557830691,0.63182586360186,0.567560220374028,0.734556490015742,0.671840369443028,0.603804954980557,0.459617345949366,0.694374695666743,0.505038224565626,0.665583665676834,0.65372447609955,0.530096882918159,0.623833649505267,0.599643303273291,0.579662244289736,0.71068375964909,0.258270811801526,0.657128195033987,0.748982074290694,0.709217940936687,0.749363015191804,0.634383528880598,0.714187845457625,0.633024608956525,0.634101385405803,0.744084743387155,0.685743715796908,0.695564524541163,0,0.679729456457783,0.835046469785734,0.667010950573936,0.800974087466893,0.459617345949366,0.776873378890994,0.785812772086394,0.793082268699362,0.689999504133787,0.558517651211896,0.785683331201035,0.778055749200949,0.586836834366599,0.557969223175288,0.632569018746496,0.654520317415382,0.618187738151216,0.634439897001727,0.724127951047275,0.943958684939789,0.695946431635389,0.694181943550624,0.73932022967647,0.711446161746498,0.640899551333978,0.585304691700004,0.467615221882696,0.621953732572397,0.710440401518498,0.801384865587976,0.707099973222806,0.831987651559155,0.464331964217983,0.494713996134576,0.814012409042842,0.797448563305127,0.811632474841006
"AD_16295",0.615981310035445,0.80807365186093,0.640306883995475,0.684861497704731,0.526077081174197,0.52079636809368,0.773234227251568,0.763359272748668,0.460684446308163,0.705556251238209,0.722112445047193,0.445400363881514,0.519377926865656,0.586987719111373,0.634748972897335,0.53700279505133,0.737514260124604,0.756517811963837,0.478793356238319,0.814923925818177,0.999869669089705,0.691854992869572,0.497447524711647,0.478164564548049,0.605795134737646,0.629035045447162,0.597093232387973,0.653692648356663,0.574324682606643,0.701208685885614,0.608510480923015,0.596053401051971,0.597252550906635,0.531486062061596,0.682239028296861,0.617929019193669,0.567262754132746,0.452439305667115,0.650466448413973,0.48892089181446,0.601721525296109,0.592272159570534,0.489837880926276,0.583092426597863,0.570358582310168,0.499406305448719,0.689440970977314,0.240999248359914,0.629099067176448,0.714095808881351,0.655118814524925,0.710255996001392,0.603867682964865,0.677240063532555,0.594073349852927,0.610414345612521,0.689948074454969,0.66217542525405,0.640750779948445,0,0.646060319460368,0.772493281496101,0.60314305412923,0.76211677043357,0.388196170745043,0.736367817943437,0.744006247801895,0.772385411510611,0.65434018652526,0.558394210142893,0.745527466687414,0.708798883239103,0.590198000553595,0.525687587968312,0.601412338702326,0.618411911976634,0.541504280590807,0.603905721843355,0.661022763818226,0.881824890568225,0.658402046232571,0.652987891263389,0.699143875336027,0.644801236095981,0.588474914971743,0.553319614536058,0.430837909704297,0.614644689763905,0.663040327019676,0.744848499668943,0.697670924856189,0.757729175035345,0.436095646115596,0.453828526144105,0.781224636665852,0.75522889749347,0.772684853719844
"AD_17045",0.66939117125883,0.825874803879427,0.677760155690958,0.753917259643489,0.557101692959819,0.586679097115428,0.827460538186497,0.819087462951225,0.497988563008939,0.752538402170699,0.807901595601298,0.482181672308489,0.57823872726807,0.633460069931728,0.683014761281985,0.580858448089129,0.782187303343746,0.830345566745638,0.513450405063245,0.875836721960966,0.999865817266205,0.748902198520924,0.548690858436675,0.498246932425887,0.668073654696788,0.64562355047352,0.6343958713306,0.694738864107371,0.599786708464838,0.740183969737324,0.631147538495288,0.634136514678541,0.619816812866769,0.583432965515842,0.747694423748668,0.664516436228674,0.617745247156646,0.493259734750092,0.695084332522961,0.5479526598598,0.630723200203516,0.586321883729688,0.525429296409944,0.60505190588287,0.58115493696122,0.61757131139135,0.709512246056242,0.250694432059722,0.645383009034779,0.750743258862939,0.718596599821169,0.744110714430752,0.659652171473097,0.735046421204297,0.639290041745349,0.639440427614692,0.741706510375649,0.676592944254024,0.69788740113898,0,0.702291884858237,0.848425253677815,0.665949516385286,0.787963804707808,0.461557826407052,0.778069757698998,0.780600590493387,0.818801610087373,0.703731619751558,0.557536068961242,0.788481373874036,0.765699108354941,0.59561139736122,0.582994762647705,0.667493562614233,0.68819904364349,0.619072060929822,0.650680324670805,0.72240884229658,0.937946532348879,0.6998387364429,0.676592944254024,0.775092100351471,0.710729001605834,0.642907078117934,0.604609620833959,0.50738371029916,0.681094332050523,0.732597720516916,0.809448804624368,0.712796435624897,0.843581321580891,0.500552342495998,0.515878488585805,0.81444676981425,0.796124576224793,0.819672503406898
"AD_16635",0.531930759808,0.733238921763696,0.555344231488553,0.635870050751419,0.46396888140422,0.435784781476571,0.690480725857552,0.661144059436143,0.423678465136457,0.608911951614069,0.680711985070609,0.333508158812092,0.439118663629526,0.450049990933028,0.5457591608479,0.417295995354624,0.634411602128213,0.670239373783479,0.504399855426258,0.749955123436088,0.999874595021534,0.637438902936777,0.456581721330309,0.373424714435638,0.549692159218476,0.545876368673218,0.490167909832228,0.515785648399601,0.425834374624,0.573678144263758,0.494568963541695,0.46011103928352,0.46872626215623,0.440334290960259,0.58122072479234,0.535056296226982,0.505331870421473,0.42149010817877,0.554020930009909,0.439849258913712,0.539774936031847,0.478730677672187,0.425700562739278,0.484114495308057,0.43752300018083,0.566589016640884,0.576694901229935,0.24013369409042,0.525874486507473,0.614718265133438,0.567349067103326,0.719461382711934,0.5601489469682,0.612808474038349,0.545465727269485,0.531154970399777,0.574594569621497,0.562728003323794,0.536874942892704,0,0.54458185671747,0.696091754481513,0.532509897563541,0.65413742075605,0.405173578194821,0.634729902937287,0.637126483763391,0.697275319340348,0.558116885756332,0.473043187241128,0.637189021323017,0.65681146127537,0.512727665053265,0.438996540052821,0.511767962974156,0.585252895704244,0.519835505904111,0.502675488859616,0.574257610840356,0.769496771045599,0.548833685106613,0.52972184945979,0.637906276653694,0.545817776570488,0.505099426142614,0.425298386630387,0.429531968270131,0.612141504621186,0.59811629492392,0.754587641847916,0.623565232723526,0.785259992906594,0.37265551125937,0.402214406189493,0.663249823419138,0.626050172299836,0.672070827643073
"AD_4301",0.519100717569464,0.69710931721472,0.508875328940469,0.600353508921496,0.455095158594178,0.378599379149993,0.63729511492375,0.609585870805638,0.359649070622445,0.548620918666993,0.685823804673958,0.238167466975152,0.393150356842381,0.456848068305366,0.514727039690138,0.330882369234814,0.625379285806515,0.623260803513314,0.533968773273134,0.723751673678937,0.999866254615089,0.571955096173357,0.395949377390978,0.336262166811825,0.481049041688412,0.529533822232787,0.503774063904708,0.435911292625179,0.407073760971588,0.540525119776663,0.483277488732563,0.386948176557096,0.382131699676142,0.410225165609381,0.568548442480412,0.511365618733901,0.457138342276426,0.361516909844608,0.531992923169176,0.34591818279587,0.579362184476464,0.446182575202193,0.40057628125362,0.508875328940469,0.395307827795065,0.557327110477987,0.577610411294637,0.237588251808742,0.471012656953725,0.609641221188868,0.456848068305366,0.739690919778737,0.520564549156281,0.587968560594376,0.44910786119719,0.498502942472874,0.48823926998622,0.545166218209297,0.506345241565877,0,0.464366027837338,0.66864379765531,0.473254942017311,0.621627478212527,0.424927129585,0.623159212860462,0.635001478216066,0.679757717309102,0.536623980971614,0.445559777432502,0.612656071687032,0.669366492482376,0.514727039690138,0.370539198695606,0.412355932409548,0.541038083563495,0.489189551073893,0.479545791457326,0.563519273349986,0.711208931963266,0.517127647437228,0.518708065789718,0.566308702523586,0.432729151739627,0.477773767103436,0.335950718295677,0.402225820758712,0.569478339572085,0.538889682135598,0.772976985776823,0.614866736236593,0.703354490369528,0.281407733451383,0.311016522734818,0.590674063799946,0.599057160870981,0.638036917999864
"AD_16805",0.577962846279554,0.77946516251412,0.601041041498437,0.648865871271302,0.514540972560114,0.468054887946317,0.745207783185514,0.723642210020864,0.419848787511959,0.642582820762985,0.701963339060787,0.354720624679141,0.437190235387526,0.535550222180531,0.587136177445997,0.449319390311716,0.670730553176193,0.711289031806807,0.53612509959524,0.788239992509701,0.9998710211364,0.681093798416034,0.477663595452705,0.423368656077669,0.563478399438943,0.550172439070317,0.555413341211712,0.556422105076815,0.501776480246617,0.633064645395167,0.556969558312957,0.524703959069846,0.487424156625607,0.486849950698371,0.647483278677183,0.558284564598411,0.535707220582413,0.424452264736606,0.621428065038114,0.452590142134228,0.632369607533926,0.550600258635009,0.460303628174186,0.551310651997947,0.475974741103971,0.552721650591311,0.618406175566659,0.25955626627917,0.540951807990599,0.674418737615486,0.605387350522204,0.736890724087759,0.573693870703855,0.652060638411103,0.587173587140101,0.553608620482443,0.640905153862074,0.601893019419099,0.599046048005886,0,0.559946138815025,0.727872865297111,0.532376052295335,0.679605751649601,0.417041603201975,0.690706144606145,0.691390570820939,0.689712109720789,0.613159934820352,0.505196161777599,0.700253998873314,0.706310207826731,0.547434867362133,0.466338502257079,0.518511840233987,0.597445165140663,0.551405123181723,0.526547227185078,0.639235595102243,0.850066221814114,0.608901333134735,0.574711455973597,0.624860509161943,0.590942263878718,0.549073673945849,0.488850343325417,0.390915076459844,0.625939389108367,0.628646699981182,0.731348020706523,0.665116662601527,0.747751574759392,0.393578791433835,0.417607162302391,0.722763349485858,0.705620161971106,0.715869011732278
"AD_4312",0.636800158020795,0.77234715531155,0.610947063719604,0.676542538122522,0.521580014971715,0.509727469027188,0.750419584420558,0.763731819171151,0.467009392408843,0.662882537840845,0.776586180168246,0.41183596678367,0.525241270494907,0.583984020399244,0.60043872501312,0.488686697749353,0.682912356206113,0.715119773967765,0.546685950098758,0.799273474345488,0.999873369815774,0.698870573299405,0.494252787007217,0.44711410122024,0.569158042636815,0.609311600609188,0.598318439514405,0.600351022210023,0.54269328296284,0.667098812188323,0.579470610528252,0.530340987357562,0.498605335231332,0.519634238038226,0.655233472242916,0.599515075316032,0.558849181350616,0.453689675849502,0.643488254279635,0.47106903359893,0.591522927824573,0.579011107142363,0.502205262575961,0.569760582831172,0.52196592456965,0.591663077636622,0.630905486593109,0.230770946345858,0.610702967038139,0.67935442673017,0.61942258586668,0.685575796753562,0.599647401462603,0.672058069430277,0.579368629795686,0.57926657422282,0.650451937754643,0.620299422852649,0.600526372540574,0,0.611190732697507,0.771990128684649,0.593380077877352,0.725324994277667,0.462236799132183,0.716515643558552,0.709191415387243,0.758034727910186,0.653238617349634,0.550127253064527,0.708467563559857,0.702558008521317,0.547329686653532,0.509474743550701,0.559674396945491,0.630093224980226,0.607739890417943,0.589545853903111,0.649284420855595,0.824499881271915,0.631713031438748,0.592871829033717,0.709551933286872,0.595076137115891,0.548225940817953,0.502294077507482,0.49101698758678,0.555256006067624,0.673672618033371,0.799776223842124,0.661165237455349,0.833209798489954,0.406635287267111,0.461405342011068,0.71810470190248,0.699021689459928,0.749462085864964
"AD_16775",0.672445375974205,0.848103038663527,0.694333272227389,0.801761504428471,0.587820286148009,0.626476591219936,0.858553148808444,0.879025856658174,0.637615890013927,0.807244364415268,0.789206435044921,0.554621681325496,0.576466426067307,0.701175292237573,0.737220813305934,0.627770497862354,0.792632854099071,0.896602019543118,0.541918308500708,0.905118718608614,0.999859639574539,0.7582504197691,0.589923016367052,0.56159522595274,0.72255255227612,0.643169283112159,0.646382362812629,0.804749776150721,0.632576023113755,0.78663253504504,0.670819925437694,0.686755032184381,0.68821929823695,0.58334376634374,0.787582161691102,0.66035594612998,0.624480171948049,0.493220234862185,0.670819925437694,0.698262405422306,0.673853507837795,0.653186108683138,0.59319389914533,0.596562459377971,0.648526683873165,0.484937184694907,0.719914629053823,0.185813560515733,0.738468767737306,0.752396879394098,0.78546108862031,0.68821929823695,0.742916445503149,0.792770145064041,0.791091277954217,0.629255057000729,0.780583663763792,0.728255500457711,0.763360087625179,0,0.723349526521301,0.881174610760508,0.712647509656132,0.834501115263423,0.435467418798538,0.834153223367413,0.812375373496944,0.875207376957221,0.747144882303449,0.579292190630254,0.806347681070082,0.777099128690545,0.662042621429854,0.650115279731642,0.73509552620414,0.747761420419114,0.610327697132886,0.666730961526779,0.767035142239006,0.996119042335791,0.726070958135014,0.68350184606577,0.774412860005592,0.753881558783773,0.685740093901696,0.662744397787314,0.505235016507114,0.754117765871745,0.763609726096761,0.715375528804797,0.76405251679166,0.836948486905298,0.619764818690869,0.566952237005871,0.895152413900941,0.820990634559945,0.826400698494215
