"","ADAM22","ALDOA","AP2M1","ARL6IP1","ARPP21","ATL1","ATP1A1","ATP1B1","ATP6V0B","ATP6V1A","ATP8A1","BEX2","BEX4","CACNB4","CADPS","CAP2","CHL1","CHN1","CLK1","CLTC","CLU","DCLK1","DYNLL1","ELMOD1","FBXW7","FXYD6","FZD3","GABRA1","GABRA4","GABRB2","GABRB3","GABRG2","GAP43","GDAP1","GLS","GPRASP1","GRIA3","GRIK2","GRIN2A","HINT1","HSPH1","INPP5F","ISCU","KCNB1","KCNC2","KCNQ1OT1","KIAA1549L","LINC00632","LMO4","LONRF2","MDH1","MEG3","MORF4L2","NCKAP1","NDUFA4","NRXN3","NSF","OLFM1","OXR1","PAICSP4","PGM2L1","PJA2","PLCB1","PNMA2","PNN","PPP3CA","PRKCB","PRNP","REEP5","RHBDD2","RTN1","RYR2","SCG3","SCG5","SERPINI1","SKP1","SLC24A2","SLC39A10","SLC8A1","SNAP25","SNAP91","ST8SIA3","STMN1","STMN2","STXBP5L","TAGLN3","TIA1","TMSB10","TOMM20","TPPP","TSPAN7","TUBA1A","UQCRH","VDAC3","VSNL1","YWHAH","YWHAZ"
"SM-DAIGO_S42_E1-50",0,0.656731749249031,0.472866493899514,0.511603154132081,0,0.639084810388773,0.572847320330331,0.720259138018733,0.572302124671664,0.49282560911337,0.444883330033849,0.570649861900496,0.608246016754933,0.707093876387357,0.609027400000502,0.470091441611764,0.773261052348483,0.650014202160472,0.708033573544995,0.118893040639928,0.623234738683861,0.210588555052268,0.693538095155758,0.634260786845217,0.465790699158848,0.766844117313398,0.672983803640421,0,0.654197181192635,0.747673106537196,0.607853199229767,0,0.740983782314062,0,0.57009345394288,0.787027021776549,0.613600803443339,0.7813176707896,0.496190266936848,0.640257950433421,0.634260786845217,0.674056370490792,0.0750131568323113,0,0.39647470556536,0.70325130317273,0.647860477162642,0.744491516864265,0.0750131568323113,0,0.118893040639928,0.999752323514623,0.657729185889105,0.210588555052268,0.623575592853393,0.614344594064382,0,0.418945667969174,0.619058486368985,0.582716029056794,0.614344594064382,0.589917428627441,0.691921484208125,0.688613960275651,0.602198571555749,0.118893040639928,0,0.699773355361302,0.705189643515486,0.368081353807375,0.873137609799184,0.49282560911337,0.560778364293635,0.68805274323903,0.763440367951416,0.630496194772009,0.565536102281349,0.471487862397671,0.644827330337969,0.826091731669245,0.522525469005407,0.769350590857419,0.736522844750308,0.77343161362786,0.71246384941527,0,0.471487862397671,0.730738190827692,0.669700808433736,0.588043423196965,0.813672013871424,0.725426453886493,0.598829549009878,0.562587115745938,0.747022476665466,0.535560285309831,0.652647449086988
"SM-GE4RA_S118_E1-50",0.544645732447839,0.452666312668073,0.574487104528818,0.557059032650942,0.572242834487842,0.600973699941212,0.553076518615381,0.524655066898791,0.414329481805049,0.0754443854446789,0.0754443854446789,0.308376122086093,0,0,0.432139438570526,0,0.580430395435188,0.644815199986753,0.683782271950136,0.632828809192207,0.239153043639538,0.484825595123299,0.501241647220379,0.404197218476318,0.553076518615381,0.550338179452131,0.463963892071215,0.445641730874637,0.358729565459307,0.514544210442141,0.525529314496533,0.579903308493538,0.456015599720429,0.585062721793343,0.637906965869542,0.513576708598445,0.38057121427575,0.528110698112752,0.568200445838101,0.270465292709127,0.29475295998528,0.411883463345339,0,0.471371051554651,0.538639064132453,0,0.308376122086093,0.749774550598642,0.577228892846465,0.370197345429959,0.608541141916053,0.999772266651228,0,0.474198307674683,0,0.578306557499059,0,0.647403404280849,0.25062082361019,0.66000203328881,0,0.576140451368619,0.287243552264409,0,0.67106405979518,0.416721737240329,0.632177051312128,0.533906003624818,0.634441331140961,0.60813425082259,0.748210041762347,0.644523785513492,0.119576521819769,0.463963892071215,0.465486199973574,0.58998859588682,0.661759632460944,0.534709278420129,0.557708844973535,0.661009848273842,0.195020907264448,0,0.572242834487842,0.62154138260291,0.617876280744441,0,0.474198307674683,0.480960932083563,0,0.567017355486012,0.553076518615381,0,0.472793859275711,0.561528297943777,0.572242834487842,0.585565462829163,0.508605833784625
"SM-D9EQW_S36_E1-50",0.319641985839522,0,0.360422815637531,0.611276504298093,0.723902945748135,0.480674213042904,0.0697152890103783,0,0.410110160331154,0.397407802436446,0.342085296015155,0,0,0.345383227592771,0.533395279883883,0.385076718133245,0,0.632232498620794,0.499152499520629,0.110496118808387,0,0.556933461751105,0.466151316720625,0,0.67282585790464,0,0.0697152890103783,0.555336953599547,0.371019755227525,0.483999405198469,0.626648750761484,0.509819748726719,0.327692513426067,0,0.516547830503718,0.540167503817276,0.616447009722112,0.522853923551303,0.415098516603149,0.351671393913328,0.545186036477655,0,0.360422815637531,0.416707797362729,0,0.745073484533333,0.348576445051892,0.139430578020757,0.48235055020988,0.389357274849901,0,0.999755279628267,0.560052406294804,0.0697152890103783,0,0.558894106716864,0.555738462722496,0.688758001548848,0.195715559745954,0.432893835981289,0,0.0697152890103783,0.665295221384331,0,0.608942805595776,0.483178356543217,0.595309924421915,0.278861156041513,0,0.416707797362729,0.419851112612079,0.638934135146414,0.436890834850894,0.0697152890103783,0.507903921244833,0.257977224415689,0.534391108828198,0.272370007004777,0.576972404799539,0.691288396687587,0.0697152890103783,0.474576715787467,0.301304466217146,0.459072563860279,0.677231433781866,0.422899161075496,0.385076718133245,0,0.306211678554341,0.542479741322086,0.110496118808387,0,0,0,0.578261882740461,0.110496118808387,0.265430848756332
"SM-GE8ZO_S107_E1-50",0.438000119179868,0.799896440807872,0.586908517964455,0.81293691028223,0.743537303184152,0.710550484065178,0.741542610235144,0.827975296935688,0.694821148502884,0.717469311780632,0.71861383453531,0.697371167878175,0.725604092653777,0.712370638577577,0.0780093952030197,0.673737863244119,0.696681418420307,0.930968755713126,0.575998306213841,0.762909992150003,0.605991361001426,0.734020896156877,0.751888556353461,0.698284306904608,0.624950993029515,0.518283203180165,0.682179198814241,0.84793044181368,0.648482971735223,0.821470629599144,0.484395701594069,0.617745731835218,0.788049012446368,0.571179182402161,0.753012598332393,0.549528924822861,0.412311030498142,0,0.745197938871664,0.637721008321511,0.750181159243497,0.608037667694792,0.553713189923381,0.626252091539112,0,0,0.670000434293096,0.785773233719237,0.689540941585683,0.615869958953709,0.871895133567534,0.867937142637717,0,0.656011500953858,0.782701260166003,0.234028185609059,0.735337212537851,0.858924638406054,0.734516320732121,0,0.698964331738519,0.846903189554701,0.741851796604338,0.60178362728074,0.575998306213841,0.747276642749264,0.758869191243559,0.748301771988233,0.758337068419613,0.627111208440763,0.855883477087289,0.318860504160755,0.503896353925158,0.832480464498381,0.634561677563959,0.719558791955835,0.677355156024104,0.707868287495967,0.512510462577064,0.999782737799347,0.717852114080313,0.619132325566931,0.924425908247531,0.821622715794724,0.72344318593113,0.668825031780425,0,0.631311090088076,0.654344155382249,0.462653232811248,0.820400232436342,0.748301771988233,0.693879354156729,0.669414267511766,0.84053462196081,0.843075221214092,0.828190554446517
"SM-GE5V7_S119_E1-50",0,0,0.613094421855267,0.751631068054011,0,0,0.0895618016084454,0.515418092747687,0,0.251431764573816,0.791372588901945,0.737417812009345,0,0.231513898654859,0.65495497242696,0,0.63285167822336,0.56939381135298,0.340993566182261,0,0,0.572507464837121,0,0,0,0,0.57997835281339,0,0.476641468208714,0.823719296818205,0.628935912891987,0,0.66510965065242,0,0.485986047435529,0.662069266445566,0.643933640741941,0.84793580998355,0.513002875380546,0,0,0.655765071425605,0.207956063383378,0,0.759101956030281,0.851179755267613,0,0,0,0.554371839133496,0,0.99966749085459,0,0,0,0.862259279739738,0,0,0.81577586034364,0,0,0,0,0,0,0,0.743701563968266,0.608520125867322,0,0.321075700263305,0.141952097046414,0.701527741469396,0.57096001679631,0,0.805296895736235,0,0.701527741469396,0.473370144946578,0,0.593737122399205,0.500199303480196,0.832030824907698,0.742881177929527,0.366080536069956,0.585658844126576,0,0.251431764573816,0.807311913056812,0,0.644815626194046,0.780155517664551,0.309832928306377,0,0.800907710007839,0.577041627149628,0.179123603216891,0.179123603216891
"SM-EBKEE_S025_E1-50",0.388762015673446,0.491312359955595,0.491312359955595,0.343680050328783,0.582807873113873,0.0770681287930152,0.266611921535768,0,0.0770681287930152,0.439322222374517,0.33308291105093,0.470772549570263,0.338507684838518,0.428081769013338,0.496545599144189,0.398436445861385,0.610291971864551,0.603666176433171,0.464132618253386,0.455233005188607,0.256014782257915,0.53504660204486,0.458878768107791,0.348622455432585,0.677769174647206,0.512029564515829,0.484404187719179,0.353354480516723,0.343680050328783,0.407336058926164,0.540342165118057,0.443518411206047,0.531370703386985,0.593458479960547,0.586851438987711,0.547032050746555,0.524630105872901,0.564287297429975,0.338507684838518,0.513135900083848,0.503960733452454,0,0,0.472372372958755,0.41819207098038,0.519552245961823,0,0.790062566741008,0.520586539999063,0.370493848286871,0.562182771371781,0.999817105202293,0.423246841740254,0,0.366450282413032,0.567032765493213,0.0770681287930152,0.62847657231204,0.594522467096433,0.629254098608023,0.564287297429975,0.33308291105093,0.428081769013338,0.458878768107791,0.404447953502478,0.285185964788486,0.601200758188477,0.467502143000117,0.505149897806353,0.453364292171554,0.661916165701508,0.585711061737367,0.353354480516723,0,0.502758713018616,0.381810639314776,0.539476901551106,0.582218026599369,0.521611301236774,0.636744189643095,0.564980046133426,0.469149370272175,0.597654668792078,0.599188290447611,0.567032765493213,0.32136831706837,0.514231335616837,0.686437391567653,0.432715181401681,0.519552245961823,0,0.374395505006512,0.533223843071536,0.285185964788486,0.472372372958755,0.566352727855137,0.481516082295493
"SM-GE4QO_S054_E1-50",0.673755356405672,0.740315474659801,0.74213926822556,0.843382223266896,0.756909068230769,0.759295114775582,0,0.604431561971992,0.568313853117762,0.807569667399368,0.661625191975537,0.663921216998979,0.64489782301456,0.375717771028442,0.824159409171429,0.577811444750989,0.761377996037426,0.898579677921757,0.578948851744431,0.135577309337056,0.742440630488139,0.645559528542002,0.759557405597379,0.631600281053099,0.818277950978658,0.641535004992662,0.734033824301593,0.640851303602903,0.775280625264451,0.614167688677799,0.799687947378902,0.910627049996837,0.796427567618953,0.70265087276663,0.808454314809147,0.584483760779824,0.431496254092518,0.531155140505126,0,0.638077978235102,0.623980096260323,0,0.665053406455788,0.65508155978026,0,0.221117067706966,0.34964058378654,0.869825755927873,0.699707447047709,0,0.730105393336787,0.999735291939604,0.581192691472272,0.316534719352207,0.601637304064881,0.531155140505126,0.807747104935615,0.897983709535916,0,0.571961639435529,0.356694377044023,0.570757651493507,0,0,0,0.787565780256288,0.806857354973264,0.735952118655112,0.71146946524429,0.841643114586117,0.900015159278708,0.431496254092518,0.656297409863417,0.749460975368889,0.875278813649853,0.845880708092837,0.683835061312567,0.648815859556517,0.549701134338287,0.957964785745689,0,0.816143099060966,0.85022920429106,0.625542240982458,0.536059406446847,0.431496254092518,0.652613321799484,0.768646748041471,0.827528069041235,0.369696684928791,0.892397113343175,0.870680531883391,0.714902979038989,0.703891162454818,0.979665983392971,0.869718491440286,0.882064459236852
"SM-EBKEC_S155_E1-50",0,0.373351108057692,0.522434191783801,0.540588628716697,0.514529451386269,0.515347017952565,0,0.398214595761947,0.293546012783012,0.451308436638603,0.459897550495808,0.448283249568686,0.387877186825374,0.327262092732368,0.519342750428725,0.373351108057692,0.516963451552442,0.551550930200552,0.644913439258745,0.486505300785258,0.073386503195753,0.47523143212646,0.385127049236408,0.452789220835902,0.463944196338772,0.379402717640149,0.544987602153453,0.440319019174518,0.446737611253445,0,0.53465019321688,0.433486045571588,0.451308436638603,0.578479609332973,0.551550930200552,0,0.451308436638603,0.548021458565788,0.504192042449696,0.232629711248643,0.488622858256964,0.299964604861939,0,0,0.448283249568686,0.440319019174518,0,0.767430615301262,0.398214595761947,0.546818328070713,0.441960514756812,0.999817408924244,0.493738555939574,0.484344524884857,0.370190445160937,0.366932515978765,0.189701358820075,0.527636082967151,0.470362788417699,0.462612426021425,0.457111222735842,0.116314855624322,0.073386503195753,0,0.629189986724237,0.279408464154946,0.596579654102212,0.4716010989577,0.433486045571588,0.490698892306535,0.523946708139056,0.327262092732368,0.206021960959193,0.17039818355576,0.441960514756812,0.34079636711152,0.243784686751513,0.422331070068718,0.360099542375835,0.665722901659914,0.293546012783012,0.373351108057692,0.477584292160246,0.424273773092375,0.530497725931595,0.422331070068718,0.370190445160937,0.495717573264471,0.331968393944365,0.286713039180082,0.536666908368143,0.336474365211581,0,0.483247371603087,0.424273773092375,0.50509310613722,0.50775117907323
"SM-GE4QO_S066_E1-50",0.678373493408696,0.813968674169118,0.72127245398884,0.386595676053031,0.812074974526441,0.468416599191727,0.668260232287426,0.777716756748242,0.777716756748242,0.65869802689202,0.74384461749095,0.656551822649019,0,0.247093087668297,0.756932798613434,0.588521261767093,0.772903086992105,0.822840777007069,0.764861761410448,0,0.764553929191413,0.610018090374263,0.730062107850253,0,0.718201958626177,0.67086505651265,0.808637046005921,0,0.740908516089944,0.670218842760915,0.81270935084085,0.762064031216339,0.66288458394238,0.667600590657694,0.715962381557544,0.782889248564162,0.678979607820437,0.615118403600002,0.598019574271866,0.26404900113648,0.488894546003103,0.69326214405835,0.451460685723544,0,0.593359207984594,0.17603266742432,0.605785007454311,0.806218292338337,0.678373493408696,0.611054673503451,0.78127847777051,0.964148198003524,0.17603266742432,0.436050195730564,0.530066735168884,0,0.886924364345926,0.65798664840309,0.535796160895864,0.661504345046836,0.602514936747192,0.780736981307425,0.403551589521214,0,0.769391875408914,0.668916464901274,0.794115736305365,0.860340919803161,0.864896770896119,0.886453192272244,0.897413420548223,0.6036143438588,0.637936006744798,0.893678423986603,0.999746834617817,0.81848219620517,0.731269540670515,0.716862957872587,0.620021743609432,0.853338448719866,0.423125755092618,0.621931264227219,0.826298862282465,0.727612242892996,0.724270451919546,0,0.653632596884713,0.763625929483764,0.743116932243533,0.722565987023614,0.853338448719866,0.546533319599294,0,0.706099402593205,0.956225833218918,0.849450186324112,0.75528581406969
"SM-GE65G_S146_E1-50",0.2216394060469,0.683000893458873,0.647084514812685,0.737372234168078,0.609497870097006,0,0.535708716361413,0,0.420725761725511,0.428709132115198,0.0857418264230395,0.628566202485035,0.257225479269119,0.468101638213653,0.483914537780262,0.617313056493718,0.549552885123722,0.72810699419545,0.350466529445111,0.598244724105689,0.488766112847854,0.682505103986441,0.0857418264230395,0.697899999218795,0.626239501142139,0.684964415761613,0.669416870550127,0.284828182101651,0.500122643139194,0.615618518929265,0.502273989673693,0.639585291059732,0.654778142672564,0.497933217704048,0.740208775704366,0.616468689339598,0.749509345030738,0.565888581321999,0.748929956113058,0.57917639171766,0.649702587306377,0.665489578545784,0.473600290473145,0.710801357017423,0,0,0.713923271808519,0.762917520627856,0.514450958538238,0.755709697027982,0.75680438831184,0.999749343902086,0.638880449792151,0.516368815680386,0.633830797327908,0,0.45631183494773,0.791089432741512,0,0.854978356572626,0.568413144615294,0.760561272095575,0.622261688692831,0.740519969095604,0,0.753770362447152,0.710008410021518,0.762397774872557,0.750373371648001,0.307381232469939,0.603058534157638,0.768989871428223,0,0.412191391281008,0.529020638516839,0.350466529445111,0.557990198436704,0.502273989673693,0.512502897682649,0.929979335043706,0.574507939270894,0.532409872657716,0.596265492956934,0,0.81384882061849,0.664344206401736,0,0.737372234168078,0,0.616468689339598,0.563311419193945,0,0.45631183494773,0.476260593171895,0.638171569297553,0.743892401972241,0.656629039665033
